paper_no,title,human_q1,human_q3,human_q6,human_q9,human_q12,human_q15,high_q1,high_q3,high_q6,high_q9,high_q12,high_q15,high_q15_conf,high_q15_status_vs_human,med_q1,med_q3,med_q6,med_q9,med_q12,med_q15,med_q15_conf,med_q15_status_vs_human,agg_vote_status,agg_q15,agg_agreement_label,agg_successful_runs,agg_total_runs
1,Feasibility of peak temperature targets in light of institutional constraints,True,True,True,False,True,4,True,True,False,False,True,1.0,0.7,mismatch,True,True,False,False,True,4.0,0.74,match,tie,,Tie (Type 1:1 | Type 4:1),2,2
4,Elevated urban energy risks due to climate-driven biophysical feedbacks,True,True,True,True,False,1,True,True,False,False,,,0.42,ai_unclassified,True,True,False,False,,,0.42,ai_unclassified,no_data,,No data,0,2
5,Global patterns and drivers of tropical aboveground carbon changes,True,True,True,False,True,4,False,,,,,,0.83,ai_unclassified,True,True,False,,,4.0,0.55,match,insufficient_votes,,Insufficient votes (Type 4:1),1,2
9,Relaxing fertility policies and delaying retirement age increase China’s carbon emissions,True,True,True,True,True,1,True,True,False,False,False,4.0,0.63,mismatch,True,True,False,False,True,,0.45,ai_unclassified,insufficient_votes,,Insufficient votes (Type 4:1),1,2
18,Energy and socioeconomic system transformation through a decade of IPCC-assessed scenarios,True,True,True,True,False,1,True,True,False,True,True,1.0,0.73,match,True,True,False,False,True,1.0,0.66,match,ok,1.0,Unanimous (Type 1:2),2,2
19,Representing gender inequality in scenarios improves understanding of climate challenges,True,True,True,False,True,4,True,False,True,False,True,3.0,0.66,mismatch,True,True,False,False,True,4.0,0.63,match,tie,,Tie (Type 3:1 | Type 4:1),2,2
27,High-income groups disproportionately contribute to climate extremes worldwide,True,True,True,False,True,4,True,True,False,False,True,4.0,0.62,match,True,True,True,False,True,3.0,0.6,mismatch,tie,,Tie (Type 3:1 | Type 4:1),2,2
30,Improving cost–benefit analyses for health-considered climate mitigation policymaking,True,False,False,True,False,2,True,False,True,True,False,2.0,0.74,match,True,True,True,True,False,2.0,0.83,match,ok,2.0,Unanimous (Type 2:2),2,2
40,Restoration cannot be scaled up globally to save reefs from loss and degradation,True,True,True,False,True,4,True,True,False,False,True,4.0,0.62,match,True,True,False,False,True,4.0,0.62,match,ok,4.0,Unanimous (Type 4:2),2,2
50,Power price stability and the insurance value of renewable technologies,True,False,False,True,False,2,True,True,True,True,False,2.0,0.66,match,True,True,False,True,False,1.0,0.72,mismatch,tie,,Tie (Type 1:1 | Type 2:1),2,2
